key,fare_amount
2015-01-27 13:08:24.0000002,8.63
2015-01-27 13:08:24.0000003,8.89
2011-10-08 11:53:44.0000002,4.91
2012-12-01 21:12:12.0000002,7.9
2012-12-01 21:12:12.0000003,14.34
2012-12-01 21:12:12.0000005,10.24
2011-10-06 12:10:20.0000001,5.12
2011-10-06 12:10:20.0000003,50.54
2011-10-06 12:10:20.0000002,12.0
2014-02-18 15:22:20.0000002,5.54
2014-02-18 15:22:20.0000003,8.75
2014-02-18 15:22:20.0000001,13.63
2010-03-29 20:20:32.0000002,4.98
2010-03-29 20:20:32.0000001,7.51
2011-10-06 03:59:12.0000002,9.17
2011-10-06 03:59:12.0000001,13.33
2012-07-15 16:45:04.0000006,4.86
2012-07-15 16:45:04.0000002,8.69
2012-07-15 16:45:04.0000003,5.22
2012-07-15 16:45:04.0000004,5.0
2014-10-29 02:09:56.0000001,7.42
2014-06-14 13:39:00.00000010,7.38
2014-06-14 13:39:00.00000060,6.4
2014-06-14 13:39:00.00000087,7.76
2014-06-14 13:39:00.00000050,15.76
2014-06-14 13:39:00.0000003,6.18
2014-06-14 13:39:00.000000158,34.06
2014-06-14 13:39:00.00000015,20.72
2014-06-14 13:39:00.00000073,5.6
2014-06-14 13:39:00.00000077,14.02
2014-06-14 13:39:00.000000145,8.87
2014-06-14 13:39:00.00000079,5.92
2014-06-14 13:39:00.000000121,5.28
2014-06-14 13:39:00.00000021,9.61
2014-06-14 13:39:00.0000005,7.92
2014-06-14 13:39:00.000000165,6.8
2014-06-14 13:39:00.000000184,5.95
2014-06-14 13:39:00.00000059,5.49
2014-06-14 13:39:00.00000070,6.86
2014-06-14 13:39:00.00000068,4.62
2014-06-14 13:39:00.000000133,16.15
2014-06-14 13:39:00.000000128,9.07
2014-06-14 13:39:00.000000136,17.12
2014-06-14 13:39:00.00000017,8.66
2014-06-14 13:39:00.000000111,5.01
2014-06-14 13:39:00.000000115,10.12
2014-06-14 13:39:00.000000168,5.23
2014-06-14 13:39:00.00000031,5.73
2014-06-14 13:39:00.000000116,5.61
2014-06-14 13:39:00.00000051,4.93
2014-06-14 13:39:00.000000193,10.77
2014-06-14 13:39:00.000000132,10.76
2014-06-14 13:39:00.000000167,17.08
2014-06-14 13:39:00.00000044,5.57
2014-06-14 13:39:00.000000138,6.45
2014-06-14 13:39:00.00000066,13.44
2014-06-14 13:39:00.00000063,10.32
2014-06-14 13:39:00.000000154,8.82
2014-06-14 13:39:00.00000097,11.43
2014-06-14 13:39:00.00000067,11.6
2014-06-14 13:39:00.000000179,6.61
2014-06-14 13:39:00.00000092,9.24
2014-06-14 13:39:00.00000029,5.12
2014-06-14 13:39:00.000000177,5.14
2014-06-14 13:39:00.000000192,6.86
2014-06-14 13:39:00.000000181,5.98
2014-06-14 13:39:00.000000120,9.32
2014-06-14 13:39:00.0000008,5.29
2014-06-14 13:39:00.000000103,4.85
2014-06-14 13:39:00.00000049,14.77
2014-06-14 13:39:00.000000108,6.18
2014-06-14 13:39:00.00000072,4.98
2014-06-14 13:39:00.000000182,9.76
2014-06-14 13:39:00.00000061,6.36
2014-06-14 13:39:00.00000093,8.79
2014-06-14 13:39:00.000000170,9.88
2014-06-14 13:39:00.000000147,41.14
2014-06-14 13:39:00.000000140,4.99
2014-06-14 13:39:00.000000159,4.63
2014-06-14 13:39:00.00000012,4.73
2014-06-14 13:39:00.00000025,6.08
2014-06-14 13:39:00.000000156,5.25
2014-06-14 13:39:00.000000152,7.08
2014-06-14 13:39:00.000000129,8.86
2014-06-14 13:39:00.000000119,16.83
2014-06-14 13:39:00.000000118,5.61
2014-06-14 13:39:00.00000076,4.88
2014-06-14 13:39:00.000000135,6.46
2014-06-14 13:39:00.00000023,14.35
2014-06-14 13:39:00.00000082,8.97
2014-06-14 13:39:00.000000125,9.44
2014-06-14 13:39:00.00000075,7.69
2014-06-14 13:39:00.000000124,6.08
2014-06-14 13:39:00.000000172,6.28
2014-06-14 13:39:00.00000024,12.37
2014-06-14 13:39:00.000000169,12.21
2014-06-14 13:39:00.00000052,10.33
2014-06-14 13:39:00.000000161,11.59
2014-06-14 13:39:00.00000038,6.72
2014-06-14 13:39:00.00000035,9.25
2014-06-14 13:39:00.00000053,9.74
2014-06-14 13:39:00.000000183,6.86
2014-06-14 13:39:00.000000131,50.55
2014-06-14 13:39:00.000000180,6.31
2014-06-14 13:39:00.000000130,9.7
2014-06-14 13:39:00.00000032,4.57
2014-06-14 13:39:00.000000148,9.64
2014-06-14 13:39:00.0000007,9.02
2014-06-14 13:39:00.00000095,10.24
2014-06-14 13:39:00.000000144,31.29
2014-06-14 13:39:00.000000141,28.53
2014-06-14 13:39:00.000000162,17.57
2014-06-14 13:39:00.00000018,9.51
2014-06-14 13:39:00.00000054,9.0
2014-06-14 13:39:00.00000040,6.07
2014-06-14 13:39:00.00000096,6.65
2014-06-14 13:39:00.00000055,21.67
2014-06-14 13:39:00.000000109,8.53
2014-06-14 13:39:00.000000151,6.47
2014-06-14 13:39:00.00000016,9.11
2014-06-14 13:39:00.00000062,8.91
2014-06-14 13:39:00.000000191,9.7
2014-06-14 13:39:00.00000034,7.38
2014-06-14 13:39:00.000000160,5.87
2014-06-14 13:39:00.00000013,6.18
2014-06-14 13:39:00.000000188,4.95
2014-06-14 13:39:00.00000086,7.02
2014-06-14 13:39:00.000000185,10.15
2014-06-14 13:39:00.00000074,7.25
2014-06-14 13:39:00.00000022,16.31
2014-06-14 13:39:00.00000036,5.13
2014-06-14 13:39:00.000000126,4.58
2014-06-14 13:39:00.000000190,6.09
2014-06-14 13:39:00.00000042,6.22
2014-06-14 13:39:00.000000178,6.47
2014-06-14 13:39:00.000000163,4.93
2014-06-14 13:39:00.00000020,10.57
2014-06-14 13:39:00.00000098,5.73
2014-06-14 13:39:00.000000114,16.94
2014-06-14 13:39:00.00000045,7.76
2014-06-14 13:39:00.00000094,4.88
2014-06-14 13:39:00.000000146,8.78
2014-06-14 13:39:00.00000033,7.7
2014-06-14 13:39:00.000000143,5.15
2014-06-14 13:39:00.000000107,6.1
2014-06-14 13:39:00.00000048,8.49
2014-06-14 13:39:00.00000043,9.48
2014-06-14 13:39:00.000000123,8.64
2014-06-14 13:39:00.000000134,7.35
2014-06-14 13:39:00.000000142,5.85
2014-06-14 13:39:00.000000122,9.95
2014-06-14 13:39:00.000000176,8.27
2011-12-12 09:42:12.0000004,6.09
2011-12-12 09:42:12.0000002,4.73
2011-12-12 09:42:12.0000001,11.96
2011-12-12 09:42:12.0000003,7.61
2011-12-12 09:42:12.0000005,8.06
2013-06-27 00:20:40.0000001,17.13
2013-06-27 00:20:40.0000003,10.34
2009-02-20 13:34:16.0000001,8.55
2009-02-20 13:34:16.0000002,12.72
2009-02-20 13:34:16.0000003,6.91
2010-08-22 21:14:08.0000001,33.3
